Risk Factor ;Medical Context ;ICD Codes;Drug Names ;Keywords ;Abbreviations ;Notes;Reference
CRP Measurement;Indicator for inflammation;-;-;CRP\s*\d+ | C[\s-]?REACTIVE\s*PROTEIN(?:\s*HS)?\d+;-;;
Diabetes Mellitus;Hyperglycemia impairs neutrophil function and wound healing;E10 | E11;insulin | metformin | glipizide | glimepiride | glyburide;diabetes mellitus | diabetic | insulin replacement;DM | T1D | T2D | IDDM | NIDDM;;"https://www.researchgate.net/publication/396455639_Comparative_Review_of_Drugs_Used_in_Diabetes_Mellitus-New_and_Old; https://pmc.ncbi.nlm.nih.gov/articles/PMC6501476/"
Difficulty swallowing;Raised aspiration risk;R13.1;-;dysphagia | difficulty swallowing | limited ability to initiate swallowing;-;;
Foley Catheter;Infection portal;-;-;urine catheter | foley catheter | indwelling catheter | catheter-associated UTI | foley;IUC | CAUTI;;
Glucose Measurement;Indicator for inflammation;-;-;GLUCOSE(?:-?,?VEN\s*(?:\(?POCT\)?)?)?\s*\d+;-;;
Hematologic Malignancy;Disease- and treatment-related neutropenia and immune dysregulation;C81 | C82 | C83 | C84 | C85 | C90 | C91 | C92 | C93 | C94 | C95;-;hematologic malignancy | blood cancer | leukemia | myeloma | lymphoma;AML | CLL | CML | NHL;;
Hemodialysis;Vascular access for hemodialysis is recurrent infection portal;Z99.2;-;ha?emodialysis | dialyzer | AV fistulas | AV graft | shunt;HD;;https://www.niddk.nih.gov/health-information/kidney-disease/kidney-failure/hemodialysis
Hemoglobin Measurement;Indicator for inflammation;-;-;HEMOGLOBIN(?:\s*A1C)?\s*\d+;Hgb\s*\d+;;
HIV AIDS;CD4-mediated immunodeficiency;B20;-;human immunodeficiency virus | HIV | AIDS | acquired immunodeficiency syndrome;HIV | ART | NRTI | NNRTI | HAART;;https://hivinfo.nih.gov/understanding-hiv/fact-sheets/fda-approved-hiv-medicines
ICU Admission;High colonisation pressure;-;-;intensive[\s-]?care unit | intensive therapy unit | intensive treatment unit | critical care unit;ICU | ITU | MICU;;
Immunosuppressant Use;"Anti-rejection; DMARD agents";Z79.60 | Z79.62;azathioprine | cyclosporine | etanercept | methotrexate | mycophenolate mofetil | tacrolimus | adalimumab | infliximab | sirolimus;immunosuppressants | immunosuppressive drug | immunosuppression | DMARD | biologic therapy;MTX | AZA | MMF;;https://my.clevelandclinic.org/health/treatments/10418-immunosuppressants
Injection Drug Use;"Skin barrier disruption; substance-associated risk";F11;-;injection drug use | drug injection | intravenous drug use | intravenous drug abuse;IDU | IVDU | PWID;;
INR Measurement;Indicator for inflammation;-;-;INR\s*\d+;-;;
Invasive Mechanical Ventilation;"Endotracheal intubation bypasses upper airway defenses; Risk of ventilator-associated pneumonia";-;-;mechanical vent(?:ilation)? | invasive vent(?:ilation)? | invasive vent(?:ilator)? | mechanical vent(?:ilator)? | intubated | intubation | endotracheal tube | tracheo?tomy;ETT | trach;;
Lactate Measurement;Indicator for inflammation;-;-;LACTATE(?:-?,?VEN\s*(?:\(?POCT\)?)?)?\s*\d+;LACT\s*\d+;;
LTC SNF Residence;High MRSA colonisation environment;-;-;nursing home | long-term care facility | skilled nursing facility | rehab facility | assisted living | healthcare facility;LTCF | LTC | SNF | NH;;https://www.cdc.gov/nhsn/pdfs/ltc/ltcf-key-terms-acronyms_current.pdf
Male Gender;-;-;-;male;-;;
Neutropenia;Severely impaired innate immunity;D70;-;neutropenia | neutropenic | ANC low;GCSF | G-CSF;;
Open Wound;Direct portal of entry;S01 | S11 | S21 | S31 | S41 | S51 | S61 | S71 | S81 | S91;fentanyl | morphine | methadone | buprenorphine | meperidine | isonipecaine | pethidine | hydrocodone | tapentadol | oxycodone | hydrocodone;wounds? | bleeding | purulent discharge | opioids? | debridement | I&D;-;;
Organ Impairment;Critical illness;N17 | N18 | N19 | N28.9 | K72 | I50 | G93.4 | R65.1;-;organ impairment | organ dysfunction | organ failure | organ malfunction | multiple organ dysfunction syndrome | congestive heart failure | Glasgow[\s-]?coma[\s-]?scale | SOFA[\s-]?score | valvular heart disease;MODS | CHF | GCS;;https://my.clevelandclinic.org/health/diseases/multiple-organ-dysfunction-syndrome
Organ Transplant;Lifelong pharmacologic immunosuppression;Z94.0 | Z94.1 | Z94.2 | Z94.3 | Z94.4 | Z94.5;tacrolimus | cyclosporine | mycophenolate mofetil | sirolimus;organ transplant | transplanted organ | s/p transplant | liver transplant | kidney transplant | renal transplant;ATG;;
PCT Measurement;Indicator for inflammation;-;-;PCT\s*\d+ | Procalcitonin\s*\d+;-;;
Peritoneal Dialysis;Peritoneal catheter is infection portal;-;-;peritoneal dialysis | PD catheter;APD | CAPD;;
Platelet Measurement;Indicator for inflammation;-;-;PLATELETS?\s*\d+;-;;
Potassium Measurement;Indicator for critical condition;-;-;POTASSIUM(?:\s*,\s*VEN)?\s*\d+;-;;
Previous Hospital Stay;Prior healthcare exposure and colonization pressure;-;-;previously hospitalized | prior admissions? | recent hospitalizations? | re[\s-]?adm(?:ission)? | re[\s-]?admitted | recently discharged | previous visit to (?:the )?hospital | recently hospitalized | recently admitted | previously admitted | recent admissions?;-;;
Prior MRSA;History of MRSA colonization or infection;Z22.322 | Z86.14 | A49.02;-;history(?:\s*of)?\s*MRSA | prior MRSA | previously MRSA | had MRSA;-;;"https://www.mdpi.com/2079-6382/11/5/606; https://www.drugs.com/monograph/vancomycin.html; https://www.drugs.com/international/teicoplanin.html; https://microbiologie-clinique.com/antibiotic-family-abbreviation.html"
Prior Staph;History of Staphylococcus Aureus colonization or infection (MSSA);Z22.321 | A49.01;-;SA infection | S. Aureus | staph infection | staphylococcus aureus;MSSA | SA | SAB;;https://www.hopkinsguides.com/hopkins/view/Johns_Hopkins_ABX_Guide/540518/all/Staphylococcus_aureus
Receipt of Transfusion;"Transfusion-related immunomodulation (TRIM); vascular access exposure";-;-;(?:blood\s+)?transfusions? | packed red blood cells;PRBC;;
Respiratory Failure;Critical illness with impaired airway clearance and frequent instrumentation;J96 | J95.82;-;tracheos?tomy | resp(?:iratory)? failure | ECMO;-;;https://www.nhlbi.nih.gov/health/respiratory-failure/treatment
Rheumatic Disease;Immunosuppressive therapy;M79.0 | M05 | M06 | M32 | M35;-;rheumatism | rheumatic disorder | rheumatic disease | rheumatoid arthritis | lupus | connective tissue disease | erythematosus;SLE;;
Sepsis;Systemic infection severity marker;A41 | R65.2;-;sepsis | blood poisoning | septic shock;-;;
Skin or Soft Tissue Infection;Portal of entry and possible MRSA source;L00 | L01 | L02 | L03 | L04 | L05 | L08;-;skin infection | soft-tissue infection | cellulitis | impetigo | erysipelas | folliculitis | bite wounds? | necrotizing fasciitis | fournier’s gangrene | ludwig’s angina | myonecrosis | surgical site infection | cutaneous abscess | skin abscess | subcutaneous abscess | soft tissue abscess | ecthyma | furuncles | carbuncles | inflamed epidermoid cyst | erysipelas | pyomyositis | clostridial gas gangrene | bacillary angiomatosis | infected myositis;SSTI | SSI;;"https://www.unmc.edu/intmed/_documents/id/asp/clinicpath-ssti.pdf; https://www.idsociety.org/practice-guideline/skin-and-soft-tissue-infections/"
Sodium Measurement;Indicator for inflammation;-;-;SODIUM(?:\s*,\s*VEN)?\s*\d+ | SODIUM-BLD\s*\d+;-;;
Solid Malignancy;Tumor- and treatment-related immunosuppression;C80 | C50 | C61 | C34 | C18 | C25;-;solid malignancy | solid cancer | solid tumor | carcinoma | sarcoma | breast cancer | lung cancer | colorectal cancer | prostate cancer;SCC;;https://appsychology.com/types-of-solid-tumors/
Surgical Procedure;Skin integrity breach;-;-;surgical procedure | surgical intervention | post-operative | s/p\s+(?:\w+\s+)?\w*surgery | status post\s+(?:\w+\s+)?\w*surgery | underwent\s+(?:\w+\s+)?\w*surgery | surgery (?:was)?performed | \w+ectomy | (?!phlebotomy)\w+os?tomy | knee replacement | hip replacement | hemiarthroplasty | surgery was called | \w+plasty;UKA | TKA | TKR | THA | THR;Exclude future procedures (surgery scheduled, surgery needed);"https://en.wikipedia.org/wiki/List_of_surgical_procedures; https://www.medicalwords.org/medical-suffixes/plasty/"
WBC Measurement;Indicator for inflammation;-;-;WBC:?\s*\d+ | WHITE BLOOD CELL \d+;-;;
